picture,code
/pages/gradientcolorloginpage/loginpageyellowred.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(yellow,red);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpagepinkblue.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(pink,blue);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpageredyellow.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(red,yellow);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpagegreenblack.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(green,black);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpagebluewhite.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(blue,white);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpagewhiteblue.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(white,blue);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpageblueblack.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(blue,black);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpageblackblue.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(black,blue);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpagegreenyellow.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(green,yellow);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
/pages/gradientcolorloginpage/loginpageyellowgreen.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>
    
    <style>

      body{
        background: linear-gradient(yellow,green);
        background-repeat: no-repeat;
        background-attachment: fixed;
      }
        .login{
            border: 1px solid rgb(0, 0, 0);
            width: 300px;
            text-align: center;
            height: 300px;
            border-radius: 10px;
        }

        .login button{
            width: 180px;

        }

        .contain{
            position: absolute;
            top:30%;
            left: 40%;
            
            
        }
    </style>
   
        <div class=""contain"">
            <div class=""login"">
                <br><br>
                <h4>LOGIN</h4>
                <br>
                    <input type=""text"">
                    <br><br>
                    <input type=""text"">
                    <br><br>
                    <button>Login</button>
                    <br><br>
                    <a href=""#"">Signup?</a>
                </div>
        </div>
   
        
</body>
</html>"
