picture,code
/pages/searchpage/whitesearchpage.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/aquasearchpage.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: aqua;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/bluesearchpage.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: darkblue;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/blueviolet.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: blueviolet;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/chatreusesearchpage.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: chartreuse;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/coralsearchpage.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: chartreuse;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/crimsonlsearchpage.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: crimson;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/darkgreysearchpage.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: darkgrey;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/searchpagebrown.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: brown;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
/pages/searchpage/searchpagecadetblue.jpg,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>your title</title>
</head>
<body>

   <style>

    body{
        background-color: cadetblue;
    }
    .search{
        position: absolute;
        left: 470px;
        top: 200px;
        text-align: center;
    }

    .search input{
        width: 400px;
        border-radius: 30px;
    }
   </style>
    
    <div class=""search"">
        <h1>SEARCH PAGE</h1>
        <input type=""text"" placeholder=""type here something...."">
    </div>
</body>
</html>"
